scene;mesh_a;mesh_b;mesh_path_a;mesh_path_b;mean_a_to_b;mean_b_to_a;median_a_to_b;median_b_to_a;max_a_to_b;max_b_to_a;pred_to_gt_mean;gt_to_pred_mean;gt_to_pred_median;gt_to_pred_max;chamfer;hausdorff;precision;recall;fscore;threshold;sample_points;sampling_method;semantics;aligned_with_icp;icp_fitness;icp_inlier_rmse;icp_threshold;icp_sample_points;aligned_mesh_path;used_global_registration;global_registration_fitness;global_registration_inlier_rmse;global_registration_voxel_size
NewBlend_BRDFFull_iter15000;NewBlend_BRDFFull_iter15000;blender_gt;output\NewBlend_BRDFFull\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08940738554433081;;0.0601758818979804;;0.7243984977817006;;0.08940738554433081;0.0601758818979804;0.7243984977817006;;;;0.00431;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFFull-Evenfiner_iter15000;NewBlend_BRDFFull-Evenfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Evenfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09147307634612918;;0.06208122224773929;;0.7139393520950356;;0.09147307634612918;0.06208122224773929;0.7139393520950356;;;;0.00215;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFFull-Highdetail_iter15000;NewBlend_BRDFFull-Highdetail_iter15000;blender_gt;output\NewBlend_BRDFFull-Highdetail\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08994077995664963;;0.061461610637438324;;0.7190630015806566;;0.08994077995664963;0.061461610637438324;0.7190630015806566;;;;0.00453;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFFull-Saferfiner_iter15000;NewBlend_BRDFFull-Saferfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Saferfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09308931364975907;;0.06363835806847405;;0.717485004466777;;0.09308931364975907;0.06363835806847405;0.717485004466777;;;;0.00268;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFReadyRoughness0_iter15000;NewBlend_BRDFReadyRoughness0_iter15000;blender_gt;output\NewBlend_BRDFReadyRoughness0\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.086326463869175;;0.06270129020658469;;0.7650848631607367;;0.086326463869175;0.06270129020658469;0.7650848631607367;;;;0.00388;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_FalloffAndSpotOff_iter15000;NewBlend_FalloffAndSpotOff_iter15000;blender_gt;output\NewBlend_FalloffAndSpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09109103717848639;;0.06229592666750651;;0.7327781122135195;;0.09109103717848639;0.06229592666750651;0.7327781122135195;;;;0.00432;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_FalloffOff_iter15000;NewBlend_FalloffOff_iter15000;blender_gt;output\NewBlend_FalloffOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08673853331172945;;0.06138689673349559;;0.7907986391256857;;0.08673853331172945;0.06138689673349559;0.7907986391256857;;;;0.00409;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_FullBRDFOnlyCenterCam_iter15000;NewBlend_FullBRDFOnlyCenterCam_iter15000;blender_gt;output\NewBlend_FullBRDFOnlyCenterCam\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.0903395963559161;;0.060638993382323744;;0.7871127200504596;;0.0903395963559161;0.060638993382323744;0.7871127200504596;;;;0.00454;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_ImproveLoss_iter15000;NewBlend_ImproveLoss_iter15000;blender_gt;output\NewBlend_ImproveLoss\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08601169757447492;;0.05785129179343959;;0.8102999495516308;;0.08601169757447492;0.05785129179343959;0.8102999495516308;;;;0.00485;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_ImproveLossLastV3Finished_iter15000;NewBlend_ImproveLossLastV3Finished_iter15000;blender_gt;output\NewBlend_ImproveLossLastV3Finished\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.0839496475786633;;0.06681086611781013;;0.7062288408588868;;0.0839496475786633;0.06681086611781013;0.7062288408588868;;;;0.00319;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_ImproveLossV2_iter15000;NewBlend_ImproveLossV2_iter15000;blender_gt;output\NewBlend_ImproveLossV2\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.0918263352089969;;0.06604323364670249;;0.8057137793421225;;0.0918263352089969;0.06604323364670249;0.8057137793421225;;;;0.00324;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnel_iter15000;NewBlend_IntroduceGGXFresnel_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnel\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08926206297663825;;0.06315485868040657;;0.7394193452933612;;0.08926206297663825;0.06315485868040657;0.7394193452933612;;;;0.00363;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000;NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelBackwardComplete\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08997338914294972;;0.06395004648883804;;0.7911259459845502;;0.08997338914294972;0.06395004648883804;0.7911259459845502;;;;0.00396;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelCompletely_iter15000;NewBlend_IntroduceGGXFresnelCompletely_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelCompletely\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.10009281188251891;;0.059928599238699094;;0.8221555119129562;;0.10009281188251891;0.059928599238699094;0.8221555119129562;;;;0.00615;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelSeparationComplete_iter15000;NewBlend_IntroduceGGXFresnelSeparationComplete_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelSeparationComplete\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08954670037238772;;0.058189783772112175;;0.7515771476164518;;0.08954670037238772;0.058189783772112175;0.7515771476164518;;;;0.00459;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000;NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelTrueRGBSpec\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09075949467737608;;0.06188098735571576;;0.8373808419035934;;0.09075949467737608;0.06188098735571576;0.8373808419035934;;;;0.00421;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_SpotOff_iter15000;NewBlend_SpotOff_iter15000;blender_gt;output\NewBlend_SpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08998148340897515;;0.061437670132641654;;0.809784922801146;;0.08998148340897515;0.061437670132641654;0.809784922801146;;;;0.00385;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlendTest_Standard2DGS_iter15000;NewBlendTest_Standard2DGS_iter15000;blender_gt;output\NewBlendTest_Standard2DGS\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08217294731493306;;0.05788594234229629;;0.7746442735204965;;0.08217294731493306;0.05788594234229629;0.7746442735204965;;;;0.00366;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlendTest_WithVersionRemovedConfidenceOnly_iter15000;NewBlendTest_WithVersionRemovedConfidenceOnly_iter15000;blender_gt;output\NewBlendTest_WithVersionRemovedConfidenceOnly\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09003298478299346;;0.06185794830241426;;0.730630127871414;;0.09003298478299346;0.06185794830241426;0.730630127871414;;;;0.00437;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
Outside(Ambient)GaussianActuallyMoveTestTbehind_iter15000;Outside(Ambient)GaussianActuallyMoveTestTbehind_iter15000;blender_gt;output\Outside(Ambient)GaussianActuallyMoveTestTbehind\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;14.081.012.251.468.700;;1.381.336.893.559.660;;3.001.884.010.533.530;;14.081.012.251.468.700;1.381.336.893.559.660;3.001.884.010.533.530;;;;0.0;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
