scene;mesh_a;mesh_b;mesh_path_a;mesh_path_b;mean_a_to_b;mean_b_to_a;median_a_to_b;median_b_to_a;max_a_to_b;max_b_to_a;pred_to_gt_mean;gt_to_pred_mean;gt_to_pred_median;gt_to_pred_max;chamfer;hausdorff;precision;recall;fscore;threshold;sample_points;sampling_method;semantics;aligned_with_icp;icp_fitness;icp_inlier_rmse;icp_threshold;icp_sample_points;aligned_mesh_path;used_global_registration;global_registration_fitness;global_registration_inlier_rmse;global_registration_voxel_size
NewBlend_BRDFFull_iter15000;NewBlend_BRDFFull_iter15000;blender_gt;output\NewBlend_BRDFFull\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08953872149475847;;0.060754911116457824;;0.7220180901500677;;0.08953872149475847;0.060754911116457824;0.7220180901500677;;;;0.34958;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFFull-Evenfiner_iter15000;NewBlend_BRDFFull-Evenfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Evenfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09195877229334573;;0.06301882330048414;;0.7067615029677702;;0.09195877229334573;0.06301882330048414;0.7067615029677702;;;;0.32637;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFFull-Highdetail_iter15000;NewBlend_BRDFFull-Highdetail_iter15000;blender_gt;output\NewBlend_BRDFFull-Highdetail\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08881105085475169;;0.06001529809977731;;0.7153880594484466;;0.08881105085475169;0.06001529809977731;0.7153880594484466;;;;0.35977;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFFull-Saferfiner_iter15000;NewBlend_BRDFFull-Saferfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Saferfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09275499029727738;;0.06309055005590823;;0.7202083698227152;;0.09275499029727738;0.06309055005590823;0.7202083698227152;;;;0.32304;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFReadyRoughness0_iter15000;NewBlend_BRDFReadyRoughness0_iter15000;blender_gt;output\NewBlend_BRDFReadyRoughness0\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08710253402636528;;0.06386340317637855;;0.7693954764154726;;0.08710253402636528;0.06386340317637855;0.7693954764154726;;;;0.31404;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_FalloffAndSpotOff_iter15000;NewBlend_FalloffAndSpotOff_iter15000;blender_gt;output\NewBlend_FalloffAndSpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09126468268494593;;0.06239821366121749;;0.7274565773791849;;0.09126468268494593;0.06239821366121749;0.7274565773791849;;;;0.32755;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_FalloffOff_iter15000;NewBlend_FalloffOff_iter15000;blender_gt;output\NewBlend_FalloffOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08515716543838807;;0.05971100719111601;;0.78109458052588;;0.08515716543838807;0.05971100719111601;0.78109458052588;;;;0.35954;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_FullBRDFOnlyCenterCam_iter15000;NewBlend_FullBRDFOnlyCenterCam_iter15000;blender_gt;output\NewBlend_FullBRDFOnlyCenterCam\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09008579197212435;;0.06002681852761206;;0.7901431999194832;;0.09008579197212435;0.06002681852761206;0.7901431999194832;;;;0.35833;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_ImproveLoss_iter15000;NewBlend_ImproveLoss_iter15000;blender_gt;output\NewBlend_ImproveLoss\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08534968162684736;;0.057140522969278476;;0.8068167421131647;;0.08534968162684736;0.057140522969278476;0.8068167421131647;;;;0.39045;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_ImproveLossLastV3Finished_iter15000;NewBlend_ImproveLossLastV3Finished_iter15000;blender_gt;output\NewBlend_ImproveLossLastV3Finished\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08371018524497117;;0.0662151073685968;;0.702516955657926;;0.08371018524497117;0.0662151073685968;0.702516955657926;;;;0.30119;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_ImproveLossV2_iter15000;NewBlend_ImproveLossV2_iter15000;blender_gt;output\NewBlend_ImproveLossV2\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09310350755533939;;0.06707734176695514;;0.8091658179875564;;0.09310350755533939;0.06707734176695514;0.8091658179875564;;;;0.28706;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnel_iter15000;NewBlend_IntroduceGGXFresnel_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnel\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08948911977936139;;0.06305930059193646;;0.7324265573619968;;0.08948911977936139;0.06305930059193646;0.7324265573619968;;;;0.31946;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000;NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelBackwardComplete\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08958040156174311;;0.06304055699571698;;0.7929490738473496;;0.08958040156174311;0.06304055699571698;0.7929490738473496;;;;0.32028;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelCompletely_iter15000;NewBlend_IntroduceGGXFresnelCompletely_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelCompletely\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09934241656844806;;0.059678406915506785;;0.8087598600287226;;0.09934241656844806;0.059678406915506785;0.8087598600287226;;;;0.37726;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelSeparationComplete_iter15000;NewBlend_IntroduceGGXFresnelSeparationComplete_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelSeparationComplete\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.0901741397458397;;0.05885638802856727;;0.7494535725177721;;0.0901741397458397;0.05885638802856727;0.7494535725177721;;;;0.3731;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000;NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelTrueRGBSpec\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09198342019180424;;0.0625870160577455;;0.831864371056665;;0.09198342019180424;0.0625870160577455;0.831864371056665;;;;0.33154;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_SpotOff_iter15000;NewBlend_SpotOff_iter15000;blender_gt;output\NewBlend_SpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08952849829862662;;0.061883868582764644;;0.810278175152396;;0.08952849829862662;0.061883868582764644;0.810278175152396;;;;0.33149;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlendTest_Standard2DGS_iter15000;NewBlendTest_Standard2DGS_iter15000;blender_gt;output\NewBlendTest_Standard2DGS\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08320989990238101;;0.058091981267391804;;0.7752820682677184;;0.08320989990238101;0.058091981267391804;0.7752820682677184;;;;0.37753;;0.05;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
