scene;mesh_a;mesh_b;mesh_path_a;mesh_path_b;mean_a_to_b;mean_b_to_a;median_a_to_b;median_b_to_a;max_a_to_b;max_b_to_a;pred_to_gt_mean;gt_to_pred_mean;chamfer;hausdorff;precision;recall;fscore;threshold;sample_points;sampling_method;semantics
;NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelTrueRGBSpec\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.4902012009767436;0.9614378526043381;0.07984255773826654;0.09974238166433372;8.001.919.200.844.820;10.296.541.260.446.600;0.4902012009767436;0.9614378526043381;14.516.390.535.810.800;10.296.541.260.446.600;0.00355;0.00352;0.0035349363507779356;0.01;100000;uniform;pred_gt
;NewBlend_SpotOff_iter15000;blender_gt;output\NewBlend_SpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.527201912410046;1.361.196.512.149.220;0.07623040383649177;0.12455695062393729;7.938.735.694.390.520;119.835.950.198.115;0.527201912410046;1.361.196.512.149.220;1.888.398.424.559.270;119.835.950.198.115;0.00361;0.00357;0.0035898885793871865;0.01;100000;uniform;pred_gt
;NewBlendTest_WithVersionRemovedConfidenceOnly_iter15000;blender_gt;output\NewBlendTest_WithVersionRemovedConfidenceOnly\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.5580441059291578;13.928.127.752.736.100;0.0775887888783316;0.14699743128789644;781.317.501.186.812;1.102.372.573.603.620;0.5580441059291578;13.928.127.752.736.100;19.508.568.812.027.600;1.102.372.573.603.620;0.00343;0.00337;0.003399735294117647;0.01;100000;uniform;pred_gt
;Outside(Ambient)GaussianActuallyMoveTestTbehind_iter15000;blender_gt;output\Outside(Ambient)GaussianActuallyMoveTestTbehind\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;4.442.455.926.018.520;7.759.921.924.639.010;4.422.264.675.502.850;79.605.552.716.879.500;9.344.683.268.866.190;188.396.140.329.274;4.442.455.926.018.520;7.759.921.924.639.010;12.202.377.850.657.500;188.396.140.329.274;0.0;0.0;0.0;0.01;100000;uniform;pred_gt
;OutsideConsistencyLossCheap_iter15000;blender_gt;output\OutsideConsistencyLossCheap\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;4.624.045.223.517.620;808.249.856.098.714;4.759.274.857.976.360;8.245.406.937.038.160;8.975.789.102.018.280;1.965.280.124.496.890;4.624.045.223.517.620;808.249.856.098.714;12.706.543.784.504.700;1.965.280.124.496.890;0.0;0.0;0.0;0.01;100000;uniform;pred_gt
;OutsideConsistencyLossMoreCostly_iter15000;blender_gt;output\OutsideConsistencyLossMoreCostly\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;4.482.812.239.926.020;8.070.563.098.678.240;4.427.242.981.710.340;8.297.919.872.339.460;888.556.091.101.431;19.444.952.122.634.300;4.482.812.239.926.020;8.070.563.098.678.240;12.553.375.338.604.200;19.444.952.122.634.300;1,00E-05;1,00E-05;1,00E-05;0.01;100000;uniform;pred_gt
;OutsideConsistencyLossV2_iter15000;blender_gt;output\OutsideConsistencyLossV2\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;4.468.090.293.103.930;7.928.913.048.850.790;4.474.402.675.505.790;8.041.906.939.316.490;9.183.963.577.504.620;194.662.771.720.371;4.468.090.293.103.930;7.928.913.048.850.790;1.239.700.334.195.470;194.662.771.720.371;0.0;0.0;0.0;0.01;100000;uniform;pred_gt
;OutsideSurfaceRegualrization_iter15000;blender_gt;output\OutsideSurfaceRegualrization\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;4.273.526.064.408.620;800.171.610.961.486;41.636.882.081.610.400;815.699.088.621.541;9.328.865.792.367.780;19.450.327.065.642.800;4.273.526.064.408.620;800.171.610.961.486;12.275.242.174.023.400;19.450.327.065.642.800;0.0;0.0;0.0;0.01;100000;uniform;pred_gt
;VaseClean_FixedAllGradients_AllOn_iter15000;blender_gt;output\VaseClean_FixedAllGradients_AllOn\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;2.823.926.408.837.500;8.691.206.557.259.760;28.996.713.984.751.300;8.715.489.615.499.070;4.120.592.493.871.340;21.641.415.288.596.700;2.823.926.408.837.500;8.691.206.557.259.760;11.515.132.966.097.200;21.641.415.288.596.700;0.0;0.0;0.0;0.01;100000;uniform;pred_gt
;VaseClean_MoveTestTBehind_iter15000;blender_gt;output\VaseClean_MoveTestTBehind\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;282.262.933.884.058;8.667.430.503.391.520;2.889.840.761.271.250;8.731.892.855.681.820;4.098.280.961.994.080;21.235.113.021.116.900;282.262.933.884.058;8.667.430.503.391.520;11.490.059.842.232.100;21.235.113.021.116.900;0.0;0.0;0.0;0.01;100000;uniform;pred_gt
;VaseClean_NowAllOff_iter15000;blender_gt;output\VaseClean_NowAllOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;2.672.063.230.253.330;8.651.334.148.351.020;27.035.592.384.814.700;8.767.031.761.680.510;4.072.943.981.117.020;21.670.947.151.309.800;2.672.063.230.253.330;8.651.334.148.351.020;11.323.397.378.604.300;21.670.947.151.309.800;0.0;0.0;0.0;0.01;100000;uniform;pred_gt
;VaseClean_SplitDiffuseToPartsWithFixes_iter15000;blender_gt;output\VaseClean_SplitDiffuseToPartsWithFixes\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;2.823.862.508.028.940;8.688.445.673.203.030;29.003.868.239.071.000;8.763.018.159.314.390;4.109.351.575.728.740;2.132.755.685.700.900;2.823.862.508.028.940;8.688.445.673.203.030;11.512.308.181.231.900;2.132.755.685.700.900;0.0;0.0;0.0;0.01;100000;uniform;pred_gt
;NewBlendTest_Standard2DGS_iter15000;blender_gt;output\NewBlendTest_Standard2DGS\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.7090274041985968;1.978.359.996.473.380;0.08133261648686885;0.43211058017495185;7.683.895.425.669.440;1.328.925.917.463.090;0.7090274041985968;1.978.359.996.473.380;2.687.387.400.671.970;1.328.925.917.463.090;0.00538;0.0053;0.005339700374531835;0.01;100000;uniform;pred_gt
