scene;mesh_a;mesh_b;mesh_path_a;mesh_path_b;mean_a_to_b;mean_b_to_a;median_a_to_b;median_b_to_a;max_a_to_b;max_b_to_a;pred_to_gt_mean;gt_to_pred_mean;gt_to_pred_median;gt_to_pred_max;chamfer;hausdorff;precision;recall;fscore;threshold;sample_points;sampling_method;semantics;aligned_with_icp;icp_fitness;icp_inlier_rmse;icp_threshold;icp_sample_points;aligned_mesh_path;;
NewBlend_ImproveLossV2_iter15000;NewBlend_ImproveLossV2_iter15000;blender_gt;output\NewBlend_ImproveLossV2\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.33500501178508174;;0.27307473301200635;;101.598.573.493.645;;0.33500501178508174;0.27307473301200635;101.598.573.493.645;;;;0.002;;0.01;100000;uniform;gt_only;TRUE;0.01168;0.025825898806826675;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_ImproveLossV2_iter15000__aligned_to__blender_gt.ply;;
NewBlend_IntroduceGGXFresnel_iter15000;NewBlend_IntroduceGGXFresnel_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnel\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.23964529602244286;;0.20382217632834548;;0.9658409969074881;;0.23964529602244286;0.20382217632834548;0.9658409969074881;;;;0.00088;;0.01;100000;uniform;gt_only;TRUE;0.01068;0.02898735128723086;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_IntroduceGGXFresnel_iter15000__aligned_to__blender_gt.ply;;
NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000;NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelBackwardComplete\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.27472978800036235;;0.20008377012475037;;11.583.470.126.172.500;;0.27472978800036235;0.20008377012475037;11.583.470.126.172.500;;;;0.00072;;0.01;100000;uniform;gt_only;TRUE;0.00928;0.029861124041532502;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000__aligned_to__blender_gt.ply;;
NewBlend_IntroduceGGXFresnelCompletely_iter15000;NewBlend_IntroduceGGXFresnelCompletely_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelCompletely\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.5196194667477897;;0.40281693997667845;;18.705.977.728.312.200;;0.5196194667477897;0.40281693997667845;18.705.977.728.312.200;;;;0.00128;;0.01;100000;uniform;gt_only;TRUE;0.01163;0.026385561846734924;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_IntroduceGGXFresnelCompletely_iter15000__aligned_to__blender_gt.ply;;
NewBlend_IntroduceGGXFresnelSeparationComplete_iter15000;NewBlend_IntroduceGGXFresnelSeparationComplete_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelSeparationComplete\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.3436262303566284;;0.2464653613299916;;1.385.868.098.328.960;;0.3436262303566284;0.2464653613299916;1.385.868.098.328.960;;;;0.00081;;0.01;100000;uniform;gt_only;TRUE;0.00846;0.029262688282299734;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_IntroduceGGXFresnelSeparationComplete_iter15000__aligned_to__blender_gt.ply;;
NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000;NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelTrueRGBSpec\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.22419443182638618;;0.18336884262924125;;0.9364869778108206;;0.22419443182638618;0.18336884262924125;0.9364869778108206;;;;0.00073;;0.01;100000;uniform;gt_only;TRUE;0.00924;0.029452435167151677;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000__aligned_to__blender_gt.ply;;
NewBlend_SpotOff_iter15000;NewBlend_SpotOff_iter15000;blender_gt;output\NewBlend_SpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.3268392344115399;;0.21980360231692234;;12.787.354.963.539.000;;0.3268392344115399;0.21980360231692234;12.787.354.963.539.000;;;;0.00067;;0.01;100000;uniform;gt_only;TRUE;0.00779;0.029825112704138092;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_SpotOff_iter15000__aligned_to__blender_gt.ply;;
NewBlendTest_Standard2DGS_iter15000;NewBlendTest_Standard2DGS_iter15000;blender_gt;output\NewBlendTest_Standard2DGS\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.4284664409055191;;0.31476152712430483;;16.019.188.250.064.500;;0.4284664409055191;0.31476152712430483;16.019.188.250.064.500;;;;0.00213;;0.01;100000;uniform;gt_only;TRUE;0.01508;0.024026384760499293;0.05;100000;mesh_compare_out\aligned_reference\NewBlendTest_Standard2DGS_iter15000__aligned_to__blender_gt.ply;;
NewBlendTest_WithVersionRemovedConfidenceOnly_iter15000;NewBlendTest_WithVersionRemovedConfidenceOnly_iter15000;blender_gt;output\NewBlendTest_WithVersionRemovedConfidenceOnly\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.30419604542627904;;0.20593736545765762;;10.385.479.031.378.800;;0.30419604542627904;0.20593736545765762;10.385.479.031.378.800;;;;0.00084;;0.01;100000;uniform;gt_only;TRUE;0.00925;0.029824474513561555;0.05;100000;mesh_compare_out\aligned_reference\NewBlendTest_WithVersionRemovedConfidenceOnly_iter15000__aligned_to__blender_gt.ply;;
Outside(Ambient)GaussianActuallyMoveTestTbehind_iter15000;Outside(Ambient)GaussianActuallyMoveTestTbehind_iter15000;blender_gt;output\Outside(Ambient)GaussianActuallyMoveTestTbehind\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.9929551004054539;;0.9100668392200275;;265.579.008.252.787;;0.9929551004054539;0.9100668392200275;265.579.008.252.787;;;;0.00047;;0.01;100000;uniform;gt_only;TRUE;0.00473;0.029507248061673437;0.05;100000;mesh_compare_out\aligned_reference\Outside_Ambient_GaussianActuallyMoveTestTbehind_iter15000__aligned_to__blender_gt.ply;;
